YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
[INSERT], 276000, 21.791898734177217
[INSERT], 278000, 27.81158706712621
[INSERT], 280000, 38.67535986452159
[INSERT], 282000, 39.897230320699705
[INSERT], 284000, 39.63576603166085
[INSERT], 286000, 25.899183620577944
[INSERT], 288000, 24.673749227918467
[INSERT], 290000, 25.0241175731692
[INSERT], 292000, 22.982826187183033
[INSERT], 294000, 24.46526418786693
[INSERT], 296000, 25.28296668761785
[INSERT], 298000, 26.58662937807964
[INSERT], 300000, 24.517384408930095
[INSERT], 302000, 23.27712815715622
[INSERT], 304000, 22.52478593961244
[INSERT], 306000, 26.259511047195712
[INSERT], 308000, 21.689432142074107
[INSERT], 310000, 24.69088003933137
[INSERT], 312000, 22.380237825594563
[INSERT], 314000, 27.43096316722474
[INSERT], 316000, 31.64263959390863
[INSERT], 318000, 41.56129140743232
[INSERT], 320000, 42.04862993074375
[INSERT], 322000, 36.220285908781484
[INSERT], 324000, 24.0031041069723
[INSERT], 326000, 22.372179602888085
[INSERT], 328000, 24.173465725565258
[INSERT], 330000, 22.71795457139596
[INSERT], 332000, 25.261158475426278
[INSERT], 334000, 25.843287457803168
[INSERT], 336000, 24.716778025241275
[INSERT], 338000, 22.713492692874137
[INSERT], 340000, 24.060858038081467
[INSERT], 342000, 23.383579292574375
[INSERT], 344000, 24.88811376442179
[INSERT], 346000, 18.94656122693506
[INSERT], 348000, 27.364544319600498
[INSERT], 350000, 35.790207412444744
[INSERT], 352000, 37.63541971336648
[INSERT], 354000, 43.87789702908695
[INSERT], 356000, 29.092336922102596
[INSERT], 358000, 24.920172201722018
[INSERT], 360000, 24.94800498753117
[INSERT], 362000, 24.855894105894105
[INSERT], 364000, 25.810912389839295
[INSERT], 366000, 25.87074392907619
[INSERT], 368000, 25.399468219802483
[INSERT], 370000, 24.234888587960114
[INSERT], 372000, 23.525149976926627
[INSERT], 374000, 24.125863950527464
[INSERT], 376000, 22.223937360178972
[INSERT], 378000, 24.428763276767185
[INSERT], 380000, 25.64754832927922
[INSERT], 382000, 24.964551313832423
[INSERT], 384000, 22.635619003042358
[INSERT], 386000, 26.680273562727077
[INSERT], 388000, 32.25646551724138
[INSERT], 390000, 37.89373342175066
[INSERT], 392000, 42.54773384763742
[INSERT], 394000, 46.755792400370716
